games_year,medal,sport,event,athlete_or_team,source
2008,silver,Athletics,Women's 3000 m steeplechase,Eunice Jepkorir,wikipedia:Kenya_at_the_2008_Summer_Olympics
2008,silver,Athletics,Men's 5000 m,Eliud Kipchoge,wikipedia:Kenya_at_the_2008_Summer_Olympics
2008,bronze,Athletics,Men's 3000 m steeplechase,Richard Mateelong,wikipedia:Kenya_at_the_2008_Summer_Olympics
2008,bronze,Athletics,"Men's 10,000 m",Micah Kogo,wikipedia:Kenya_at_the_2008_Summer_Olympics
2008,bronze,Athletics,Men's 800 m,Alfred Kirwa Yego,wikipedia:Kenya_at_the_2008_Summer_Olympics
2008,bronze,Athletics,Men's 5000 m,Edwin Cheruiyot Soi,wikipedia:Kenya_at_the_2008_Summer_Olympics
2008,bronze,Athletics,Women's 5000 metres,Sylvia Kibet,wikipedia:Kenya_at_the_2008_Summer_Olympics
2008,bronze,Athletics,Women's 10000 metres,Linet Masai,wikipedia:Kenya_at_the_2008_Summer_Olympics
2012,silver,Athletics,"Women's 10,000 m",Sally Kipyego,wikipedia:Kenya_at_the_2012_Summer_Olympics
2012,silver,Athletics,Women's marathon,Priscah Jeptoo,wikipedia:Kenya_at_the_2012_Summer_Olympics
2012,silver,Athletics,Women's 5000 m,Vivian Cheruiyot,wikipedia:Kenya_at_the_2012_Summer_Olympics
2012,silver,Athletics,Men's marathon,Abel Kirui,wikipedia:Kenya_at_the_2012_Summer_Olympics
2012,bronze,Athletics,"Women's 10,000 m",Vivian Cheruiyot,wikipedia:Kenya_at_the_2012_Summer_Olympics
2012,bronze,Athletics,Men's 3000 m steeplechase,Abel Kiprop Mutai,wikipedia:Kenya_at_the_2012_Summer_Olympics
2012,bronze,Athletics,Women's 3000 m steeplechase,Milcah Chemos Cheywa,wikipedia:Kenya_at_the_2012_Summer_Olympics
2012,bronze,Athletics,Men's 800 m,Timothy Kitum,wikipedia:Kenya_at_the_2012_Summer_Olympics
2012,bronze,Athletics,Men's 5000 metres,Thomas Longosiwa,wikipedia:Kenya_at_the_2012_Summer_Olympics
2012,bronze,Athletics,Men's marathon,Wilson Kipsang,wikipedia:Kenya_at_the_2012_Summer_Olympics
2012,bronze,Athletics,Women's 800 metres,Pamela Jelimo,wikipedia:Kenya_at_the_2012_Summer_Olympics
2016,silver,Athletics,"Women's 10,000 m",Vivian Cheruiyot,wikipedia:Kenya_at_the_2016_Summer_Olympics
2016,silver,Athletics,"Men's 10,000 m",Paul Tanui,wikipedia:Kenya_at_the_2016_Summer_Olympics
2016,silver,Athletics,Women's 3000 m steeplechase,Hyvin Jepkemoi,wikipedia:Kenya_at_the_2016_Summer_Olympics
2016,silver,Athletics,Men's 400 m hurdles,Boniface Mucheru,wikipedia:Kenya_at_the_2016_Summer_Olympics
2016,silver,Athletics,Women's 5000 m,Hellen Obiri,wikipedia:Kenya_at_the_2016_Summer_Olympics
2016,silver,Athletics,Men's javelin throw,Julius Yego,wikipedia:Kenya_at_the_2016_Summer_Olympics
2016,bronze,Athletics,Women's 800 m,Margaret Wambui,wikipedia:Kenya_at_the_2016_Summer_Olympics
2020,silver,Athletics,Women's 5000 metres,Hellen Obiri,wikipedia:Kenya_at_the_2020_Summer_Olympics
2020,silver,Athletics,Men's 800 metres,Ferguson Rotich,wikipedia:Kenya_at_the_2020_Summer_Olympics
2020,silver,Athletics,Women's marathon,Brigid Kosgei,wikipedia:Kenya_at_the_2020_Summer_Olympics
2020,silver,Athletics,Men's 1500 metres,Timothy Cheruiyot,wikipedia:Kenya_at_the_2020_Summer_Olympics
2020,bronze,Athletics,Men's 3000 metres steeplechase,Benjamin Kigen,wikipedia:Kenya_at_the_2020_Summer_Olympics
2020,bronze,Athletics,Women's 3000 metres steeplechase,Hyvin Kiyeng Jepkemoi,wikipedia:Kenya_at_the_2020_Summer_Olympics
2024,silver,Athletics,Women's 5000 m,Faith Kipyegon,wikipedia:Kenya_at_the_2024_Summer_Olympics
2024,silver,Athletics,Men's 5000 m,Ronald Kwemoi,wikipedia:Kenya_at_the_2024_Summer_Olympics
2024,bronze,Athletics,Women's 800 m,Mary Moraa,wikipedia:Kenya_at_the_2024_Summer_Olympics
2024,bronze,Athletics,Women's 3000 m steeplechase,Faith Cherotich,wikipedia:Kenya_at_the_2024_Summer_Olympics
2024,bronze,Athletics,Men's 3000 m steeplechase,Abraham Kibiwot,wikipedia:Kenya_at_the_2024_Summer_Olympics
2024,bronze,Athletics,Men's marathon,Benson Kipruto,wikipedia:Kenya_at_the_2024_Summer_Olympics
2024,bronze,Athletics,Women's marathon,Hellen Obiri,wikipedia:Kenya_at_the_2024_Summer_Olympics
